ip,url
10.152.161.132,https://10.152.161.132/xmldata?item=All
10.152.161.134,https://10.152.161.134/xmldata?item=All
10.152.161.135,https://10.152.161.135/xmldata?item=All
10.152.161.136,https://10.152.161.136/xmldata?item=All
10.152.161.137,https://10.152.161.137/xmldata?item=All
10.152.161.138,https://10.152.161.138/xmldata?item=All
10.152.161.139,https://10.152.161.139/xmldata?item=All
10.152.161.140,https://10.152.161.140/xmldata?item=All
10.152.161.141,https://10.152.161.141/xmldata?item=All
10.152.161.142,https://10.152.161.142/xmldata?item=All
10.152.161.143,https://10.152.161.143/xmldata?item=All
10.152.161.144,https://10.152.161.144/xmldata?item=All
10.152.161.145,https://10.152.161.145/xmldata?item=All
10.152.161.146,https://10.152.161.146/xmldata?item=All
10.152.161.147,https://10.152.161.147/xmldata?item=All
10.152.161.148,https://10.152.161.148/xmldata?item=All
10.152.161.149,https://10.152.161.149/xmldata?item=All
10.152.161.150,https://10.152.161.150/xmldata?item=All
10.152.161.151,https://10.152.161.151/xmldata?item=All
10.152.161.152,https://10.152.161.152/xmldata?item=All
10.152.161.153,https://10.152.161.153/xmldata?item=All
10.152.161.154,https://10.152.161.154/xmldata?item=All
10.152.161.155,https://10.152.161.155/xmldata?item=All
10.152.161.158,https://10.152.161.158/xmldata?item=All
10.152.161.159,https://10.152.161.159/xmldata?item=All
10.152.161.160,https://10.152.161.160/xmldata?item=All
10.152.161.162,https://10.152.161.162/xmldata?item=All
10.152.161.163,https://10.152.161.163/xmldata?item=All
10.152.161.164,https://10.152.161.164/xmldata?item=All
10.152.161.165,https://10.152.161.165/xmldata?item=All
10.152.161.167,https://10.152.161.167/xmldata?item=All
10.152.161.170,https://10.152.161.170/xmldata?item=All
10.152.161.171,https://10.152.161.171/xmldata?item=All
10.152.161.173,https://10.152.161.173/xmldata?item=All
10.152.161.176,https://10.152.161.176/xmldata?item=All
10.152.161.177,https://10.152.161.177/xmldata?item=All
10.152.161.178,https://10.152.161.178/xmldata?item=All
10.152.161.183,https://10.152.161.183/xmldata?item=All
10.152.161.184,https://10.152.161.184/xmldata?item=All
10.152.161.186,https://10.152.161.186/xmldata?item=All
10.152.161.191,https://10.152.161.191/xmldata?item=All
10.152.161.192,https://10.152.161.192/xmldata?item=All
10.152.161.195,https://10.152.161.195/xmldata?item=All
10.152.161.196,https://10.152.161.196/xmldata?item=All
10.152.161.198,https://10.152.161.198/xmldata?item=All
10.152.161.205,https://10.152.161.205/xmldata?item=All
10.152.161.206,https://10.152.161.206/xmldata?item=All
10.152.161.207,https://10.152.161.207/xmldata?item=All
10.152.161.212,https://10.152.161.212/xmldata?item=All
10.152.161.213,https://10.152.161.213/xmldata?item=All
10.152.161.224,https://10.152.161.224/xmldata?item=All
10.152.161.225,https://10.152.161.225/xmldata?item=All
10.152.161.226,https://10.152.161.226/xmldata?item=All
10.152.161.227,https://10.152.161.227/xmldata?item=All
10.152.161.228,https://10.152.161.228/xmldata?item=All
10.152.161.229,https://10.152.161.229/xmldata?item=All
10.152.161.230,https://10.152.161.230/xmldata?item=All
10.152.161.231,https://10.152.161.231/xmldata?item=All
10.152.161.232,https://10.152.161.232/xmldata?item=All
10.152.161.233,https://10.152.161.233/xmldata?item=All
10.152.161.234,https://10.152.161.234/xmldata?item=All
10.152.161.235,https://10.152.161.235/xmldata?item=All
10.152.161.236,https://10.152.161.236/xmldata?item=All
10.152.161.237,https://10.152.161.237/xmldata?item=All
10.152.161.242,https://10.152.161.242/xmldata?item=All
10.152.161.243,https://10.152.161.243/xmldata?item=All
10.152.161.246,https://10.152.161.246/xmldata?item=All
10.152.161.247,https://10.152.161.247/xmldata?item=All
10.152.161.248,https://10.152.161.248/xmldata?item=All
10.152.161.249,https://10.152.161.249/xmldata?item=All
10.152.161.250,https://10.152.161.250/xmldata?item=All
10.152.161.251,https://10.152.161.251/xmldata?item=All
10.152.161.253,https://10.152.161.253/xmldata?item=All
10.152.161.254,https://10.152.161.254/xmldata?item=All
10.152.162.4,https://10.152.162.4/xmldata?item=All
10.152.162.6,https://10.152.162.6/xmldata?item=All
10.152.162.7,https://10.152.162.7/xmldata?item=All
10.152.162.8,https://10.152.162.8/xmldata?item=All
10.152.162.9,https://10.152.162.9/xmldata?item=All
10.152.162.12,https://10.152.162.12/xmldata?item=All
10.152.162.13,https://10.152.162.13/xmldata?item=All
10.152.162.14,https://10.152.162.14/xmldata?item=All
10.152.162.15,https://10.152.162.15/xmldata?item=All
10.152.162.16,https://10.152.162.16/xmldata?item=All
10.152.162.17,https://10.152.162.17/xmldata?item=All
10.152.162.19,https://10.152.162.19/xmldata?item=All
10.152.162.20,https://10.152.162.20/xmldata?item=All
10.152.162.22,https://10.152.162.22/xmldata?item=All
10.152.162.23,https://10.152.162.23/xmldata?item=All
10.152.162.24,https://10.152.162.24/xmldata?item=All
10.152.162.33,https://10.152.162.33/xmldata?item=All
10.152.162.36,https://10.152.162.36/xmldata?item=All
10.152.162.37,https://10.152.162.37/xmldata?item=All
10.152.162.40,https://10.152.162.40/xmldata?item=All
10.152.162.41,https://10.152.162.41/xmldata?item=All
10.152.162.43,https://10.152.162.43/xmldata?item=All
10.152.162.44,https://10.152.162.44/xmldata?item=All
10.152.162.46,https://10.152.162.46/xmldata?item=All
10.152.162.47,https://10.152.162.47/xmldata?item=All
10.152.162.51,https://10.152.162.51/xmldata?item=All
10.152.162.57,https://10.152.162.57/xmldata?item=All
10.152.162.58,https://10.152.162.58/xmldata?item=All
10.152.162.61,https://10.152.162.61/xmldata?item=All
10.152.162.62,https://10.152.162.62/xmldata?item=All
10.152.162.63,https://10.152.162.63/xmldata?item=All
10.152.162.64,https://10.152.162.64/xmldata?item=All
10.152.162.66,https://10.152.162.66/xmldata?item=All
10.152.162.67,https://10.152.162.67/xmldata?item=All
10.152.162.69,https://10.152.162.69/xmldata?item=All
10.152.162.70,https://10.152.162.70/xmldata?item=All
10.152.162.71,https://10.152.162.71/xmldata?item=All
10.152.162.72,https://10.152.162.72/xmldata?item=All
10.152.162.73,https://10.152.162.73/xmldata?item=All
10.152.162.74,https://10.152.162.74/xmldata?item=All
10.152.162.76,https://10.152.162.76/xmldata?item=All
10.152.162.77,https://10.152.162.77/xmldata?item=All
10.152.162.78,https://10.152.162.78/xmldata?item=All
10.152.162.79,https://10.152.162.79/xmldata?item=All
10.152.162.80,https://10.152.162.80/xmldata?item=All
10.152.162.82,https://10.152.162.82/xmldata?item=All
10.152.162.83,https://10.152.162.83/xmldata?item=All
10.152.162.84,https://10.152.162.84/xmldata?item=All
10.152.162.85,https://10.152.162.85/xmldata?item=All
10.152.162.86,https://10.152.162.86/xmldata?item=All
10.152.162.87,https://10.152.162.87/xmldata?item=All
10.152.162.88,https://10.152.162.88/xmldata?item=All
10.152.162.89,https://10.152.162.89/xmldata?item=All
10.152.162.90,https://10.152.162.90/xmldata?item=All
10.152.162.91,https://10.152.162.91/xmldata?item=All
10.152.162.92,https://10.152.162.92/xmldata?item=All
10.152.162.93,https://10.152.162.93/xmldata?item=All
10.152.162.95,https://10.152.162.95/xmldata?item=All
10.152.162.104,https://10.152.162.104/xmldata?item=All
10.152.162.117,https://10.152.162.117/xmldata?item=All
10.152.162.125,https://10.152.162.125/xmldata?item=All
10.152.162.126,https://10.152.162.126/xmldata?item=All
10.152.162.127,https://10.152.162.127/xmldata?item=All
10.152.162.130,https://10.152.162.130/xmldata?item=All
10.152.162.131,https://10.152.162.131/xmldata?item=All
10.152.162.132,https://10.152.162.132/xmldata?item=All
10.152.162.133,https://10.152.162.133/xmldata?item=All
10.152.162.136,https://10.152.162.136/xmldata?item=All
10.152.162.139,https://10.152.162.139/xmldata?item=All
10.152.162.140,https://10.152.162.140/xmldata?item=All
10.152.162.142,https://10.152.162.142/xmldata?item=All
10.152.162.149,https://10.152.162.149/xmldata?item=All
10.152.162.151,https://10.152.162.151/xmldata?item=All
10.152.162.155,https://10.152.162.155/xmldata?item=All
10.152.162.156,https://10.152.162.156/xmldata?item=All
10.152.162.157,https://10.152.162.157/xmldata?item=All
10.152.162.158,https://10.152.162.158/xmldata?item=All
10.152.162.159,https://10.152.162.159/xmldata?item=All
10.152.162.160,https://10.152.162.160/xmldata?item=All
10.152.162.161,https://10.152.162.161/xmldata?item=All
10.152.162.162,https://10.152.162.162/xmldata?item=All
10.152.162.163,https://10.152.162.163/xmldata?item=All
10.152.162.164,https://10.152.162.164/xmldata?item=All
10.152.162.167,https://10.152.162.167/xmldata?item=All
10.152.162.168,https://10.152.162.168/xmldata?item=All
10.152.162.172,https://10.152.162.172/xmldata?item=All
10.152.162.173,https://10.152.162.173/xmldata?item=All
10.152.162.176,https://10.152.162.176/xmldata?item=All
10.152.162.177,https://10.152.162.177/xmldata?item=All
10.152.162.181,https://10.152.162.181/xmldata?item=All
10.152.162.189,https://10.152.162.189/xmldata?item=All
10.152.162.200,https://10.152.162.200/xmldata?item=All
10.152.162.202,https://10.152.162.202/xmldata?item=All
10.152.162.205,https://10.152.162.205/xmldata?item=All
10.152.162.206,https://10.152.162.206/xmldata?item=All
10.152.162.207,https://10.152.162.207/xmldata?item=All
10.152.162.214,https://10.152.162.214/xmldata?item=All
10.152.162.215,https://10.152.162.215/xmldata?item=All
10.152.162.218,https://10.152.162.218/xmldata?item=All
10.152.162.219,https://10.152.162.219/xmldata?item=All
10.152.162.220,https://10.152.162.220/xmldata?item=All
10.152.162.225,https://10.152.162.225/xmldata?item=All
10.152.162.226,https://10.152.162.226/xmldata?item=All
10.152.162.228,https://10.152.162.228/xmldata?item=All
10.152.162.229,https://10.152.162.229/xmldata?item=All
10.152.162.230,https://10.152.162.230/xmldata?item=All
10.152.162.231,https://10.152.162.231/xmldata?item=All
10.152.162.232,https://10.152.162.232/xmldata?item=All
10.152.162.234,https://10.152.162.234/xmldata?item=All
10.152.162.235,https://10.152.162.235/xmldata?item=All
10.152.162.236,https://10.152.162.236/xmldata?item=All
10.152.162.247,https://10.152.162.247/xmldata?item=All
10.152.162.248,https://10.152.162.248/xmldata?item=All
10.152.163.21,https://10.152.163.21/xmldata?item=All
10.152.163.25,https://10.152.163.25/xmldata?item=All
10.152.163.51,https://10.152.163.51/xmldata?item=All
10.152.163.53,https://10.152.163.53/xmldata?item=All
10.152.163.60,https://10.152.163.60/xmldata?item=All
10.152.163.62,https://10.152.163.62/xmldata?item=All
10.152.163.64,https://10.152.163.64/xmldata?item=All
10.152.163.69,https://10.152.163.69/xmldata?item=All
10.152.163.70,https://10.152.163.70/xmldata?item=All
10.152.163.77,https://10.152.163.77/xmldata?item=All
10.152.163.79,https://10.152.163.79/xmldata?item=All
10.152.163.80,https://10.152.163.80/xmldata?item=All
10.152.163.81,https://10.152.163.81/xmldata?item=All
10.152.163.83,https://10.152.163.83/xmldata?item=All
10.152.163.84,https://10.152.163.84/xmldata?item=All
10.152.163.86,https://10.152.163.86/xmldata?item=All
10.152.163.87,https://10.152.163.87/xmldata?item=All
10.152.163.89,https://10.152.163.89/xmldata?item=All
10.152.163.90,https://10.152.163.90/xmldata?item=All
10.152.163.92,https://10.152.163.92/xmldata?item=All
10.152.163.93,https://10.152.163.93/xmldata?item=All
10.152.163.95,https://10.152.163.95/xmldata?item=All
10.152.163.96,https://10.152.163.96/xmldata?item=All
10.152.163.101,https://10.152.163.101/xmldata?item=All
10.152.163.102,https://10.152.163.102/xmldata?item=All
10.152.163.108,https://10.152.163.108/xmldata?item=All
10.152.163.109,https://10.152.163.109/xmldata?item=All
10.152.163.128,https://10.152.163.128/xmldata?item=All
10.152.163.131,https://10.152.163.131/xmldata?item=All
10.152.163.135,https://10.152.163.135/xmldata?item=All
10.152.163.136,https://10.152.163.136/xmldata?item=All
10.152.163.138,https://10.152.163.138/xmldata?item=All
10.152.163.139,https://10.152.163.139/xmldata?item=All
10.152.163.141,https://10.152.163.141/xmldata?item=All
10.152.163.142,https://10.152.163.142/xmldata?item=All
10.152.163.143,https://10.152.163.143/xmldata?item=All
10.152.163.144,https://10.152.163.144/xmldata?item=All
10.152.163.145,https://10.152.163.145/xmldata?item=All
10.152.163.147,https://10.152.163.147/xmldata?item=All
10.152.163.149,https://10.152.163.149/xmldata?item=All
10.152.163.150,https://10.152.163.150/xmldata?item=All
10.152.163.151,https://10.152.163.151/xmldata?item=All
10.152.163.152,https://10.152.163.152/xmldata?item=All
10.152.163.154,https://10.152.163.154/xmldata?item=All
10.152.163.155,https://10.152.163.155/xmldata?item=All
10.152.163.156,https://10.152.163.156/xmldata?item=All
10.152.163.158,https://10.152.163.158/xmldata?item=All
10.152.163.161,https://10.152.163.161/xmldata?item=All
10.152.163.162,https://10.152.163.162/xmldata?item=All
10.152.163.163,https://10.152.163.163/xmldata?item=All
10.152.163.164,https://10.152.163.164/xmldata?item=All
10.152.163.165,https://10.152.163.165/xmldata?item=All
10.152.163.166,https://10.152.163.166/xmldata?item=All
10.152.163.167,https://10.152.163.167/xmldata?item=All
10.152.163.168,https://10.152.163.168/xmldata?item=All
10.152.163.169,https://10.152.163.169/xmldata?item=All
10.152.163.170,https://10.152.163.170/xmldata?item=All
10.152.163.171,https://10.152.163.171/xmldata?item=All
10.152.163.172,https://10.152.163.172/xmldata?item=All
10.152.163.173,https://10.152.163.173/xmldata?item=All
10.152.163.174,https://10.152.163.174/xmldata?item=All
10.152.163.175,https://10.152.163.175/xmldata?item=All
10.152.163.176,https://10.152.163.176/xmldata?item=All
10.152.163.178,https://10.152.163.178/xmldata?item=All
10.152.163.190,https://10.152.163.190/xmldata?item=All
10.152.163.191,https://10.152.163.191/xmldata?item=All
10.152.163.193,https://10.152.163.193/xmldata?item=All
10.152.163.194,https://10.152.163.194/xmldata?item=All
10.152.163.196,https://10.152.163.196/xmldata?item=All
10.152.163.197,https://10.152.163.197/xmldata?item=All
10.152.163.198,https://10.152.163.198/xmldata?item=All
10.152.163.201,https://10.152.163.201/xmldata?item=All
10.152.163.202,https://10.152.163.202/xmldata?item=All
10.152.163.203,https://10.152.163.203/xmldata?item=All
10.152.163.212,https://10.152.163.212/xmldata?item=All
10.152.163.213,https://10.152.163.213/xmldata?item=All
10.152.164.45,https://10.152.164.45/xmldata?item=All
10.152.165.1,https://10.152.165.1/xmldata?item=All
10.152.165.111,https://10.152.165.111/xmldata?item=All
10.152.165.162,https://10.152.165.162/xmldata?item=All
10.152.165.243,https://10.152.165.243/xmldata?item=All
10.152.166.224,https://10.152.166.224/xmldata?item=All
10.152.166.233,https://10.152.166.233/xmldata?item=All
10.152.167.62,https://10.152.167.62/xmldata?item=All
10.152.167.120,https://10.152.167.120/xmldata?item=All
10.152.167.247,https://10.152.167.247/xmldata?item=All
10.152.168.8,https://10.152.168.8/xmldata?item=All
10.152.168.9,https://10.152.168.9/xmldata?item=All
10.152.168.10,https://10.152.168.10/xmldata?item=All
10.152.168.11,https://10.152.168.11/xmldata?item=All
10.152.168.12,https://10.152.168.12/xmldata?item=All
10.152.168.14,https://10.152.168.14/xmldata?item=All
10.152.168.16,https://10.152.168.16/xmldata?item=All
10.152.168.19,https://10.152.168.19/xmldata?item=All
10.152.168.20,https://10.152.168.20/xmldata?item=All
10.152.168.21,https://10.152.168.21/xmldata?item=All
10.152.168.23,https://10.152.168.23/xmldata?item=All
10.152.168.27,https://10.152.168.27/xmldata?item=All
10.152.168.30,https://10.152.168.30/xmldata?item=All
10.152.168.32,https://10.152.168.32/xmldata?item=All
10.152.168.34,https://10.152.168.34/xmldata?item=All
10.152.168.35,https://10.152.168.35/xmldata?item=All
10.152.168.36,https://10.152.168.36/xmldata?item=All
10.152.168.38,https://10.152.168.38/xmldata?item=All
10.152.168.39,https://10.152.168.39/xmldata?item=All
10.152.168.40,https://10.152.168.40/xmldata?item=All
10.152.168.42,https://10.152.168.42/xmldata?item=All
10.152.168.46,https://10.152.168.46/xmldata?item=All
10.152.168.49,https://10.152.168.49/xmldata?item=All
10.152.168.54,https://10.152.168.54/xmldata?item=All
10.152.168.55,https://10.152.168.55/xmldata?item=All
10.152.168.56,https://10.152.168.56/xmldata?item=All
10.152.168.58,https://10.152.168.58/xmldata?item=All
10.152.168.59,https://10.152.168.59/xmldata?item=All
10.152.168.61,https://10.152.168.61/xmldata?item=All
10.152.168.62,https://10.152.168.62/xmldata?item=All
10.152.168.63,https://10.152.168.63/xmldata?item=All
10.152.168.67,https://10.152.168.67/xmldata?item=All
10.152.168.72,https://10.152.168.72/xmldata?item=All
10.152.168.74,https://10.152.168.74/xmldata?item=All
10.152.168.75,https://10.152.168.75/xmldata?item=All
10.152.168.76,https://10.152.168.76/xmldata?item=All
10.152.168.80,https://10.152.168.80/xmldata?item=All
10.152.168.82,https://10.152.168.82/xmldata?item=All
10.152.168.83,https://10.152.168.83/xmldata?item=All
10.152.168.84,https://10.152.168.84/xmldata?item=All
10.152.168.86,https://10.152.168.86/xmldata?item=All
10.152.168.90,https://10.152.168.90/xmldata?item=All
10.152.168.91,https://10.152.168.91/xmldata?item=All
10.152.168.93,https://10.152.168.93/xmldata?item=All
10.152.168.94,https://10.152.168.94/xmldata?item=All
10.152.168.95,https://10.152.168.95/xmldata?item=All
10.152.168.96,https://10.152.168.96/xmldata?item=All
10.152.168.97,https://10.152.168.97/xmldata?item=All
10.152.168.98,https://10.152.168.98/xmldata?item=All
10.152.168.99,https://10.152.168.99/xmldata?item=All
10.152.168.101,https://10.152.168.101/xmldata?item=All
10.152.168.105,https://10.152.168.105/xmldata?item=All
10.152.168.109,https://10.152.168.109/xmldata?item=All
10.152.168.110,https://10.152.168.110/xmldata?item=All
10.152.168.112,https://10.152.168.112/xmldata?item=All
10.152.168.113,https://10.152.168.113/xmldata?item=All
10.152.168.114,https://10.152.168.114/xmldata?item=All
10.152.168.115,https://10.152.168.115/xmldata?item=All
10.152.168.116,https://10.152.168.116/xmldata?item=All
10.152.168.117,https://10.152.168.117/xmldata?item=All
10.152.168.118,https://10.152.168.118/xmldata?item=All
10.152.168.119,https://10.152.168.119/xmldata?item=All
10.152.168.120,https://10.152.168.120/xmldata?item=All
10.152.168.121,https://10.152.168.121/xmldata?item=All
10.152.168.122,https://10.152.168.122/xmldata?item=All
10.152.168.125,https://10.152.168.125/xmldata?item=All
10.152.168.128,https://10.152.168.128/xmldata?item=All
10.152.168.129,https://10.152.168.129/xmldata?item=All
10.152.168.130,https://10.152.168.130/xmldata?item=All
10.152.168.131,https://10.152.168.131/xmldata?item=All
10.152.168.132,https://10.152.168.132/xmldata?item=All
10.152.168.133,https://10.152.168.133/xmldata?item=All
10.152.168.134,https://10.152.168.134/xmldata?item=All
10.152.168.135,https://10.152.168.135/xmldata?item=All
10.152.168.136,https://10.152.168.136/xmldata?item=All
10.152.168.137,https://10.152.168.137/xmldata?item=All
10.152.168.138,https://10.152.168.138/xmldata?item=All
10.152.168.139,https://10.152.168.139/xmldata?item=All
10.152.168.142,https://10.152.168.142/xmldata?item=All
10.152.168.143,https://10.152.168.143/xmldata?item=All
10.152.168.144,https://10.152.168.144/xmldata?item=All
10.152.168.145,https://10.152.168.145/xmldata?item=All
10.152.168.146,https://10.152.168.146/xmldata?item=All
10.152.168.148,https://10.152.168.148/xmldata?item=All
10.152.168.149,https://10.152.168.149/xmldata?item=All
10.152.168.150,https://10.152.168.150/xmldata?item=All
10.152.168.153,https://10.152.168.153/xmldata?item=All
10.152.168.158,https://10.152.168.158/xmldata?item=All
10.152.168.159,https://10.152.168.159/xmldata?item=All
10.152.168.160,https://10.152.168.160/xmldata?item=All
10.152.168.161,https://10.152.168.161/xmldata?item=All
10.152.168.162,https://10.152.168.162/xmldata?item=All
10.152.168.163,https://10.152.168.163/xmldata?item=All
10.152.168.165,https://10.152.168.165/xmldata?item=All
10.152.168.166,https://10.152.168.166/xmldata?item=All
10.152.168.167,https://10.152.168.167/xmldata?item=All
10.152.168.168,https://10.152.168.168/xmldata?item=All
10.152.168.169,https://10.152.168.169/xmldata?item=All
10.152.168.171,https://10.152.168.171/xmldata?item=All
10.152.168.172,https://10.152.168.172/xmldata?item=All
10.152.168.173,https://10.152.168.173/xmldata?item=All
10.152.168.174,https://10.152.168.174/xmldata?item=All
10.152.168.175,https://10.152.168.175/xmldata?item=All
10.152.168.176,https://10.152.168.176/xmldata?item=All
10.152.168.177,https://10.152.168.177/xmldata?item=All
10.152.168.178,https://10.152.168.178/xmldata?item=All
10.152.168.179,https://10.152.168.179/xmldata?item=All
10.152.168.180,https://10.152.168.180/xmldata?item=All
10.152.168.181,https://10.152.168.181/xmldata?item=All
10.152.168.182,https://10.152.168.182/xmldata?item=All
10.152.168.187,https://10.152.168.187/xmldata?item=All
10.152.168.190,https://10.152.168.190/xmldata?item=All
